IDSensor,IDStation,Pollutant,NameStation,Altitude,Province,Latitude,Longitude,ARPA_zone,ARPA_stat_type,LAU_Code,GISCO_ID,CNTR_CODE,LAU_NAME,POP_2020,POP_DENS_2,AREA_KM2,FID,NUTS3_Code,NUTS0_Code,NUTS0_Name,NUTS1_Code,NUTS1_Name,NUTS2_Code,NUTS2_Name,NUTS3_Name,NUTS3_UrbRur,NUTS3_Remoteness,NUTS3_Metropol,NUTS3_Coastal,NUTS3_Mountain,NUTS3_Border,DateStart,DateStop,Frequency,Source
10511,1269,CO,Dalmine Via Verdi,207,"BG",45.6497025123625,9.60122333878526,Agg_BG,UT,016091,IT_016091,IT,"Dalmine",23669,2002.63360576,11.81893679,IT_016091,ITC46,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Bergamo",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,> 50 % of surface are in mountain areas,Other regions,2010-02-12,NaT,Hourly,ARPA (open data)
10581,1274,NO2,Perledo Pzza Della Stazione,212,"LC",46.0158283043838,9.28640920868081,C,RB,097067,IT_097067,IT,"Perledo",894,65.26021601,13.69900461,IT_097067,ITC43,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Lecco",perdominantly urban,"predominantly urban",Non metropolitan,non-coastal,> 50 % of population and 50 % of surface are in mountain areas,Other regions,2010-09-01,NaT,Hourly,ARPA (open data)
10583,1274,NOx,Perledo Pzza Della Stazione,212,"LC",46.0158283043838,9.28640920868081,C,RB,097067,IT_097067,IT,"Perledo",894,65.26021601,13.69900461,IT_097067,ITC43,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Lecco",perdominantly urban,"predominantly urban",Non metropolitan,non-coastal,> 50 % of population and 50 % of surface are in mountain areas,Other regions,2010-09-01,NaT,Hourly,ARPA (open data)
12016,1297,NOx,Spinadesco Via Battisti,48,"CR",45.1504688698568,9.93059647227233,A,RI,019100,IT_019100,IT,"Spinadesco",1491,86.61458419,17.21419105,IT_019100,ITC4A,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Cremona",intermediate,"intermediate, close to a city",Non metropolitan,non-coastal,Other regions,Other regions,2011-02-08,NaT,Hourly,ARPA (open data)
12017,1297,NO2,Spinadesco Via Battisti,48,"CR",45.1504688698568,9.93059647227233,A,RI,019100,IT_019100,IT,"Spinadesco",1491,86.61458419,17.21419105,IT_019100,ITC4A,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Cremona",intermediate,"intermediate, close to a city",Non metropolitan,non-coastal,Other regions,Other regions,2011-02-08,NaT,Hourly,ARPA (open data)
12531,1297,PM10,Spinadesco Via Battisti,48,"CR",45.1504688698568,9.93059647227233,A,RI,019100,IT_019100,IT,"Spinadesco",1491,86.61458419,17.21419105,IT_019100,ITC4A,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Cremona",intermediate,"intermediate, close to a city",Non metropolitan,non-coastal,Other regions,Other regions,2011-02-16,NaT,Daily,ARPA (open data)
12022,1297,PM2.5,Spinadesco Via Battisti,48,"CR",45.1504688698568,9.93059647227233,A,RI,019100,IT_019100,IT,"Spinadesco",1491,86.61458419,17.21419105,IT_019100,ITC4A,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Cremona",intermediate,"intermediate, close to a city",Non metropolitan,non-coastal,Other regions,Other regions,2011-02-16,NaT,Daily,ARPA (open data)
17286,1374,NO2,Monza Parco,181,"MB",45.6012321995514,9.27507265782848,Agg_MI,SB,108033,IT_108033,IT,"Monza",124051,3745.85102294,33.11690701,IT_108033,ITC4D,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Monza e della Brianza",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,2013-05-01,NaT,Hourly,ARPA (open data)
17290,1374,PM10,Monza Parco,181,"MB",45.6012321995514,9.27507265782848,Agg_MI,SB,108033,IT_108033,IT,"Monza",124051,3745.85102294,33.11690701,IT_108033,ITC4D,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Monza e della Brianza",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,2013-02-15,NaT,Daily,ARPA (open data)
17285,1374,NOx,Monza Parco,181,"MB",45.6012321995514,9.27507265782848,Agg_MI,SB,108033,IT_108033,IT,"Monza",124051,3745.85102294,33.11690701,IT_108033,ITC4D,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Monza e della Brianza",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,2013-05-01,NaT,Hourly,ARPA (open data)
20491,1800,NO2,Brescia San Polo,124,"BS",45.5086667998462,10.2563702474338,<undefined>,<undefined>,017029,IT_017029,IT,"Brescia",199579,2207.89807837,90.39321242,IT_017029,ITC47,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Brescia",intermediate,"intermediate, close to a city",Metropolitan,non-coastal,> 50 % of surface are in mountain areas,Other regions,NaT,NaT,Hourly,ARPA (open data)
20495,1801,NO2,Brescia Via Tartaglia,151,"BS",45.5426478918228,10.2112052151183,<undefined>,<undefined>,017029,IT_017029,IT,"Brescia",199579,2207.89807837,90.39321242,IT_017029,ITC47,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Brescia",intermediate,"intermediate, close to a city",Metropolitan,non-coastal,> 50 % of surface are in mountain areas,Other regions,NaT,NaT,Hourly,ARPA (open data)
5504,501,NO2,Milano Via Marche,129,"MI",45.496316443651,9.19093355531362,Agg_MI,UT,015146,IT_015146,IT,"Milano",1396059,7678.43623323,181.81553608,IT_015146,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1980-09-18,NaT,Hourly,ARPA (open data)
6328,501,NOx,Milano Via Marche,129,"MI",45.496316443651,9.19093355531362,Agg_MI,UT,015146,IT_015146,IT,"Milano",1396059,7678.43623323,181.81553608,IT_015146,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1980-09-18,NaT,Hourly,ARPA (open data)
5827,501,CO,Milano Via Marche,129,"MI",45.496316443651,9.19093355531362,Agg_MI,UT,015146,IT_015146,IT,"Milano",1396059,7678.43623323,181.81553608,IT_015146,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1989-04-05,NaT,Hourly,ARPA (open data)
6356,504,NOx,Sesto San Giovanni Via Cesare Da Sesto,139,"MI",45.5347657650922,9.23610792341164,Agg_MI,UT,015209,IT_015209,IT,"Sesto San Giovanni",81841,6985.8491924,11.71525433,IT_015209,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1980-12-18,NaT,Hourly,ARPA (open data)
5835,504,CO,Sesto San Giovanni Via Cesare Da Sesto,139,"MI",45.5347657650922,9.23610792341164,Agg_MI,UT,015209,IT_015209,IT,"Sesto San Giovanni",81841,6985.8491924,11.71525433,IT_015209,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1990-04-29,NaT,Hourly,ARPA (open data)
5507,504,NO2,Sesto San Giovanni Via Cesare Da Sesto,139,"MI",45.5347657650922,9.23610792341164,Agg_MI,UT,015209,IT_015209,IT,"Sesto San Giovanni",81841,6985.8491924,11.71525433,IT_015209,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1980-12-18,NaT,Hourly,ARPA (open data)
20358,504,PM2.5,Sesto San Giovanni Via Cesare Da Sesto,139,"MI",45.5347657650922,9.23610792341164,Agg_MI,UT,015209,IT_015209,IT,"Sesto San Giovanni",81841,6985.8491924,11.71525433,IT_015209,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,2017-01-01,NaT,Daily,ARPA (open data)
5832,514,CO,Rho Via Buon Gesu,152,"MI",45.5234256620035,9.04459987111101,Agg_MI,UB,015182,IT_015182,IT,"Rho",51323,2305.86274456,22.25761274,IT_015182,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1991-10-02,NaT,Hourly,ARPA (open data)
6346,514,NOx,Rho Via Buon Gesu,152,"MI",45.5234256620035,9.04459987111101,Agg_MI,UB,015182,IT_015182,IT,"Rho",51323,2305.86274456,22.25761274,IT_015182,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1991-10-03,NaT,Hourly,ARPA (open data)
5517,514,NO2,Rho Via Buon Gesu,152,"MI",45.5234256620035,9.04459987111101,Agg_MI,UB,015182,IT_015182,IT,"Rho",51323,2305.86274456,22.25761274,IT_015182,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1991-10-03,NaT,Hourly,ARPA (open data)
5520,517,NO2,Turbigo Vicolo Dello Sport,141,"MI",45.5265508699425,8.73649657837922,A,UB,015226,IT_015226,IT,"Turbigo",7164,840.4813038,8.52368752,IT_015226,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1990-01-11,NaT,Hourly,ARPA (open data)
10352,517,PM10,Turbigo Vicolo Dello Sport,141,"MI",45.5265508699425,8.73649657837922,A,UB,015226,IT_015226,IT,"Turbigo",7164,840.4813038,8.52368752,IT_015226,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,2008-01-01,NaT,Daily,ARPA (open data)
6364,517,NOx,Turbigo Vicolo Dello Sport,141,"MI",45.5265508699425,8.73649657837922,A,UB,015226,IT_015226,IT,"Turbigo",7164,840.4813038,8.52368752,IT_015226,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1990-01-11,NaT,Hourly,ARPA (open data)
5646,517,SO2,Turbigo Vicolo Dello Sport,141,"MI",45.5265508699425,8.73649657837922,A,UB,015226,IT_015226,IT,"Turbigo",7164,840.4813038,8.52368752,IT_015226,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1982-03-08,NaT,Hourly,ARPA (open data)
6366,528,NOx,Milano Verziere,116,"MI",45.4633467406665,9.19532480766886,Agg_MI,UT,015146,IT_015146,IT,"Milano",1396059,7678.43623323,181.81553608,IT_015146,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1988-11-24,NaT,Hourly,ARPA (open data)
6956,528,PM10,Milano Verziere,116,"MI",45.4633467406665,9.19532480766886,Agg_MI,UT,015146,IT_015146,IT,"Milano",1396059,7678.43623323,181.81553608,IT_015146,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,2001-11-01,NaT,Daily,ARPA (open data)
5531,528,NO2,Milano Verziere,116,"MI",45.4633467406665,9.19532480766886,Agg_MI,UT,015146,IT_015146,IT,"Milano",1396059,7678.43623323,181.81553608,IT_015146,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1988-11-24,NaT,Hourly,ARPA (open data)
5532,529,NO2,Cinisello Balsamo Via Lincoln,149,"MI",45.5523257874121,9.22776423327263,Agg_MI,UT,015077,IT_015077,IT,"Cinisello Balsamo",76264,5988.46648712,12.73514683,IT_015077,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1988-11-24,NaT,Hourly,ARPA (open data)
5825,531,CO,Pioltello Limito,114,"MI",45.4836303532325,9.32736003321514,Agg_MI,UB,015175,IT_015175,IT,"Pioltello",37226,2840.63014944,13.10483873,IT_015175,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1994-11-11,NaT,Hourly,ARPA (open data)
5534,531,NO2,Pioltello Limito,114,"MI",45.4836303532325,9.32736003321514,Agg_MI,UB,015175,IT_015175,IT,"Pioltello",37226,2840.63014944,13.10483873,IT_015175,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1989-05-23,NaT,Hourly,ARPA (open data)
6324,531,NOx,Pioltello Limito,114,"MI",45.4836303532325,9.32736003321514,Agg_MI,UB,015175,IT_015175,IT,"Pioltello",37226,2840.63014944,13.10483873,IT_015175,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1989-05-12,NaT,Hourly,ARPA (open data)
5630,531,SO2,Pioltello Limito,114,"MI",45.4836303532325,9.32736003321514,Agg_MI,UB,015175,IT_015175,IT,"Pioltello",37226,2840.63014944,13.10483873,IT_015175,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1989-05-07,NaT,Hourly,ARPA (open data)
6908,531,PM10,Pioltello Limito,114,"MI",45.4836303532325,9.32736003321514,Agg_MI,UB,015175,IT_015175,IT,"Pioltello",37226,2840.63014944,13.10483873,IT_015175,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1998-02-21,NaT,Daily,ARPA (open data)
6320,539,NOx,Milano Via Liguria,115,"MI",45.4438576535649,9.16794450174268,Agg_MI,UT,015146,IT_015146,IT,"Milano",1396059,7678.43623323,181.81553608,IT_015146,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1991-10-24,NaT,Hourly,ARPA (open data)
5542,539,NO2,Milano Via Liguria,115,"MI",45.4438576535649,9.16794450174268,Agg_MI,UT,015146,IT_015146,IT,"Milano",1396059,7678.43623323,181.81553608,IT_015146,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1991-10-24,NaT,Hourly,ARPA (open data)
5823,539,CO,Milano Via Liguria,115,"MI",45.4438576535649,9.16794450174268,Agg_MI,UT,015146,IT_015146,IT,"Milano",1396059,7678.43623323,181.81553608,IT_015146,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1991-10-20,NaT,Hourly,ARPA (open data)
5828,542,CO,Meda Via Gagarin,222,"MB",45.6617621918917,9.1566439845516,Agg_MI,UT,108030,IT_108030,IT,"Meda",23578,2834.5193479,8.31816513,IT_108030,ITC4D,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Monza e della Brianza",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1995-11-01,NaT,Hourly,ARPA (open data)
5545,542,NO2,Meda Via Gagarin,222,"MB",45.6617621918917,9.1566439845516,Agg_MI,UT,108030,IT_108030,IT,"Meda",23578,2834.5193479,8.31816513,IT_108030,ITC4D,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Monza e della Brianza",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1995-11-01,NaT,Hourly,ARPA (open data)
6910,542,PM10,Meda Via Gagarin,222,"MB",45.6617621918917,9.1566439845516,Agg_MI,UT,108030,IT_108030,IT,"Meda",23578,2834.5193479,8.31816513,IT_108030,ITC4D,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Monza e della Brianza",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1998-02-06,NaT,Daily,ARPA (open data)
6330,542,NOx,Meda Via Gagarin,222,"MB",45.6617621918917,9.1566439845516,Agg_MI,UT,108030,IT_108030,IT,"Meda",23578,2834.5193479,8.31816513,IT_108030,ITC4D,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Monza e della Brianza",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1995-11-01,NaT,Hourly,ARPA (open data)
6300,544,NOx,Cormano Via Edison,153,"MI",45.5510419443724,9.16261365315132,Agg_MI,UB,015086,IT_015086,IT,"Cormano",20516,4584.97791611,4.47461261,IT_015086,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1994-10-24,NaT,Hourly,ARPA (open data)
5619,544,SO2,Cormano Via Edison,153,"MI",45.5510419443724,9.16261365315132,Agg_MI,UB,015086,IT_015086,IT,"Cormano",20516,4584.97791611,4.47461261,IT_015086,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1994-10-26,NaT,Hourly,ARPA (open data)
5547,544,NO2,Cormano Via Edison,153,"MI",45.5510419443724,9.16261365315132,Agg_MI,UB,015086,IT_015086,IT,"Cormano",20516,4584.97791611,4.47461261,IT_015086,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1994-10-24,NaT,Hourly,ARPA (open data)
5548,545,NO2,Motta Visconti Via De Gasperi,100,"MI",45.2819561974278,8.98856272679325,B,SB,015151,IT_015151,IT,"Motta Visconti",8078,768.09538887,10.51692292,IT_015151,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1998-03-17,NaT,Hourly,ARPA (open data)
6338,545,NOx,Motta Visconti Via De Gasperi,100,"MI",45.2819561974278,8.98856272679325,B,SB,015151,IT_015151,IT,"Motta Visconti",8078,768.09538887,10.51692292,IT_015151,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1998-03-17,NaT,Hourly,ARPA (open data)
6912,546,PM10,Magenta Via F Turati,137,"MI",45.4624157911066,8.88021043312557,A,UB,015130,IT_015130,IT,"Magenta",24388,1107.53302186,22.02011093,IT_015130,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1998-02-25,NaT,Daily,ARPA (open data)
5549,546,NO2,Magenta Via F Turati,137,"MI",45.4624157911066,8.88021043312557,A,UB,015130,IT_015130,IT,"Magenta",24388,1107.53302186,22.02011093,IT_015130,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1995-04-22,NaT,Hourly,ARPA (open data)
5631,546,SO2,Magenta Via F Turati,137,"MI",45.4624157911066,8.88021043312557,A,UB,015130,IT_015130,IT,"Magenta",24388,1107.53302186,22.02011093,IT_015130,ITC4C,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Milano",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,Other regions,Other regions,1995-04-22,NaT,Hourly,ARPA (open data)
