"","APV","ATV","IDV","LPV","NFV","RTV","SQV"
"116",NA,NA,NA,NA,7,NA,1
"117",2.3,NA,8.3,NA,11.5,22.1,0.9
"118",3.4,NA,2.7,NA,4.3,8,0.3
"119",NA,NA,NA,NA,37,NA,5
"120",7.6,NA,35.9,NA,34.3,127,3.6
"121",NA,NA,NA,NA,2,NA,1
"122",9.1,NA,17.2,NA,7.2,9.2,2.9
"123",0.3,NA,0.9,NA,1,0.6,0.9
"124",1.1,NA,2.2,NA,1.7,2.2,1
"125",NA,NA,NA,NA,1,NA,1
"126",0.9,NA,24,NA,27.1,47.1,4.7
"127",NA,NA,2.8,0.8,12,1.3,0.9
"128",6.5,NA,11,35,20,63,25
"129",15,27,32,13,29,58,4.5
"130",NA,NA,1.8,0.9,73,1.8,2.7
"131",2.8,3.1,7.4,13,8.7,42,2.1
"132",NA,NA,0.9,0.3,2,1.3,0.8
"133",0.4,2.2,0.8,0.5,24,0.7,0.8
"134",NA,NA,0.3,0.3,0.4,0.3,0.4
"135",2.7,7.3,8.1,8.4,21,5.7,11
"136",2.5,6.6,6,2.4,121,2,15
"137",14,54,49,112,81,200,48
"138",5.1,NA,22.8,33.5,34.7,77,8.9
"139",NA,NA,0.4,0.4,14,0.3,0.3
"140",3.2,NA,22.7,2.7,87.2,4.1,11.8
"141",25,4.2,5,11,7.7,9.6,1.9
"142",6.4,0.6,14,53,3.9,8.2,0.7
"143",NA,NA,1,0.7,1.6,1.3,0.9
"144",6.8,4.5,10,8.7,11,16,0.8
"145",NA,NA,1.4,1.4,59,2.3,2.5
"146",1,2.3,5.3,6.3,7.2,23,1.6
"147",NA,NA,1.2,1.4,1.8,1.6,0.9
"148",0.9,2.4,2.4,1.4,12,1.8,2.1
"149",0.5,NA,0.3,NA,0.6,0.3,0.2
"150",12,12,21,11,21,32,4.6
"151",1.8,34,14,7.9,400,37,87
"152",110,141,400,400,400,400,400
"153",13,7.4,30,46,47,95,1.5
"154",NA,NA,1.3,0.3,5.4,2.1,1.2
"155",3.7,2.3,9.6,30,12,19,2.1
"156",1,1.5,1.4,1,2.9,2.6,1.5
"157",1.7,1.4,1.7,1.4,3,1.6,1.1
"158",NA,NA,3.5,0.9,8,4.4,1.7
"159",0.7,1.2,1.2,0.7,1.5,0.9,0.8
"160",NA,NA,1.9,2.2,9.2,3.4,3.9
"161",9,170,400,72,130,86,400
"162",24,2.2,400,240,56,150,2
"163",0.2,6.1,3.7,0.7,12,0.9,1
"164",1,0.9,0.9,0.7,1.3,1.1,1
"165",1.4,1.2,1.5,1.1,1.5,0.9,0.7
"166",NA,NA,1.6,0.8,2.2,1,1.1
"167",4.5,14,16,6.4,22,51,4.9
"168",1.1,NA,0.6,NA,1.2,1.3,0.7
"169",0.5,NA,0.6,NA,0.8,0.5,0.6
"170",4,NA,16,NA,34,5.5,5.9
"171",5.3,NA,12,NA,3.5,3.3,1.3
"172",100,NA,13,43,55,81,41
"173",56,2.5,9.1,39,19,27,21
"174",1.7,5.4,10,2.8,21,6.1,17
"175",3.2,NA,6.4,NA,4,12.1,3.1
"176",5.2,NA,20.3,NA,34.7,100,91
"177",2.2,NA,4.4,NA,3.4,5.9,0.8
"178",0.4,NA,0.9,NA,11.1,0.9,0.4
"179",2.3,NA,1.2,NA,2,2.1,1.2
"180",0.4,NA,0.9,NA,2.3,1.8,0.9
"181",10.8,NA,32.2,NA,121.7,203.2,29.1
"182",13.9,NA,33.2,NA,97.2,203.8,37.2
"183",0.1,NA,2.1,NA,8.9,1.7,0.7
"184",0.1,NA,6.1,NA,21,1.5,0.2
"185",0.1,NA,3.1,NA,11,1.2,1.5
"186",0.1,NA,1.4,NA,15.8,3.3,1.2
"187",0.1,NA,6.3,NA,29.9,1.4,1.8
"188",0.1,NA,5.4,NA,16.7,1.8,1.4
"189",0.1,NA,7.6,NA,24.6,3.3,1.2
"190",0.2,NA,7.5,NA,18.6,1.9,1.8
"191",0.2,NA,5.5,NA,15.1,1.5,2
"192",0.3,NA,1,NA,1.6,8.1,0.3
"193",0.3,NA,13.5,NA,63,6.2,8.9
"194",0.3,NA,1.2,NA,27.6,0.6,0.4
"195",0.3,NA,1.3,NA,29.1,1.1,1.1
"196",NA,2.6,49,36,55,40,92
"197",5.2,30,53,21,62,20,88
"198",8.7,21,24,12,34,29,57
"199",1.7,1.9,2.7,4.7,3.4,4,0.9
"200",4.6,4.8,3.5,2.6,98,8.4,16
"201",0.6,0.7,0.8,0.9,1,0.9,1
"202",0.6,0.6,1,NA,2,5.3,0.6
"203",8,0.6,1,NA,2,7,1
"204",2,2,2,NA,43,1,0.6
"205",20,NA,27,NA,8,7,4
"206",2,2,3,NA,7,5,3
"207",1,3,2,NA,50,2,2
"208",4,3,7,NA,8,40,2
"209",1,3,10,NA,27,4,3
"210",1,4,6,NA,11,58,3
"211",2,4,2,NA,13,15,4
"212",5,4,10,NA,14,10,4
"213",1,5,2,NA,65,3,3
"214",3,5,8,NA,18,93,4
"215",3,5,4,NA,77,2,3
"216",4,5,17,NA,7,12,1
"217",3,6,13,NA,15,33,4
"218",4,6,16,NA,19,40,4
"219",4,6,15,NA,17,33,3
"220",7,8,10,NA,10,37,4
"221",5,9,11,NA,8,18,11
"222",4,10,13,NA,21,17,23
"223",5,12,17,NA,17,11,11
"224",0.1,14,2,NA,13,2,1
"225",7,14,28,NA,35,85,9
"226",8,16,19,NA,13,51,9
"227",13,22,35,NA,41,34,82
"228",12,27,50,NA,52,63,50
"229",2,29,41,NA,37,77,14
"230",9,30,62,NA,106,17,33
"231",10,35,23,NA,20,105,31
"232",3,41,17,NA,400,54,118
"233",3,82,78,NA,101,90,40
"234",1,2,4,NA,5,14,1
"235",5.5,2.7,6.3,4.7,9.1,3.9,2.5
"236",11,5.9,2,2.9,52,5.7,20
"237",4.3,1.2,18,23,3.8,8,0.4
"238",1,1.2,1.3,1.2,1.4,1.1,1.2
"239",NA,NA,0.9,0.8,1.8,0.9,0.8
"240",0.6,NA,0.7,0.6,1.1,0.9,0.6
"241",5.6,3.8,32,25,34,58,3
"242",0.8,0.6,0.5,0.6,0.7,0.8,0.9
"243",3.4,19,20,35,27,58,7.6
"244",13,14,16,11,12,32,10
"245",1.5,1.4,1.5,1.4,1.8,1.7,1.1
"246",1.3,NA,5,NA,34,22,60
"247",6,10,7.9,11,13,36,3.9
"248",1.1,2.3,5,1.6,13,5.1,1.7
"249",0.3,0.8,0.6,0.4,0.9,0.8,0.7
"250",0.8,0.9,1.5,0.7,3.4,1.8,1.3
"251",0.8,NA,1,NA,1.4,0.8,0.7
"252",13,13,8.8,20,17,142,79
"253",0.7,0.6,0.6,0.6,0.7,0.8,0.5
"254",12,NA,12,NA,102,105,186
"255",NA,NA,9.6,NA,3.9,NA,1.5
"256",NA,NA,2.4,NA,4.1,NA,0.3
"257",NA,NA,20,NA,16.8,NA,1.4
"258",NA,NA,4.5,NA,6.4,NA,0.7
"259",NA,NA,2.5,NA,3.7,NA,0.7
"260",NA,NA,0.5,NA,NA,1.4,1.5
"261",NA,NA,25.2,NA,23,NA,4.8
"262",NA,NA,34.6,NA,27.4,NA,4.8
"263",NA,NA,25.8,NA,33.3,NA,3.8
"264",NA,NA,15.8,NA,37,NA,4.4
"265",NA,NA,34.5,NA,49.8,NA,7.2
"266",4.6,NA,15.6,20.3,17.8,101.9,1.9
"267",1.4,NA,10.2,5.2,7.4,12.1,1.5
"268",3.4,NA,12.6,2.5,33.5,22.6,32.4
"269",5.4,NA,10.6,9.4,30.1,19.5,29.8
"270",6.6,NA,6.8,78.7,8.5,26.6,0.4
"271",0.6,NA,15.7,0.7,54.7,4.5,3.4
"272",2.9,NA,8.7,46.3,1.6,16.2,0.6
"273",1,NA,6.8,24.6,17.2,33.7,0.8
"274",NA,NA,7.1,2.3,7.2,21.6,0.9
"275",1.3,NA,1.8,2.8,2.3,5,1.8
"276",8.5,NA,156,99,205,260.9,52
"277",2.6,10,17,17,12,54,15
"278",0.9,1.1,1.1,1,1.4,1.1,1.1
"279",1.7,5.5,9,2.6,6.4,11,1.7
"280",0.7,67,17,4.4,97,19,34
"281",7.9,NA,58,NA,95,41,134
"282",8.2,NA,20,57,56,200,11
"283",3.6,NA,15,4.3,45,5.9,2.6
"284",0.8,NA,1.3,1,54,2.1,1.6
"285",1.1,NA,1,NA,1.1,0.9,1
"286",0.6,NA,1,NA,1.1,0.8,0.9
"287",0.5,NA,0.7,NA,0.7,0.6,0.7
"288",0.7,NA,0.9,0.9,1.2,0.9,0.8
"289",0.6,NA,0.7,NA,0.8,0.5,0.6
"290",1.9,NA,2.8,NA,160.4,8.2,9.6
"291",1.3,NA,3.2,NA,74,4,7.1
"292",1.1,NA,2.6,NA,124,3.6,4.4
"293",2,NA,5.3,NA,57,3.4,9.3
"294",11.4,NA,1.1,NA,109,4.7,6.1
"295",3.7,NA,3.9,NA,171.4,5.7,38.1
"296",0.4,NA,1.3,NA,32.8,2.1,3.7
"297",2.7,NA,5.2,NA,140.1,10.2,21
"298",1.5,NA,5.8,NA,219,17,24
"299",2.3,NA,8.4,NA,400,35,72
"300",1.2,NA,1.7,NA,47,2.5,5
"301",1,NA,2.3,NA,67,3.1,3.9
"302",28,NA,6.8,NA,400,31,45
"303",1.3,NA,3.5,NA,74,3.3,5.2
"304",2.2,NA,12,NA,140,27,46
"305",130,NA,25,NA,400,275,290
"306",17,NA,79,66,74,73,5.7
"307",17,NA,51,67,96,120,2.4
"308",0.6,NA,0.8,0.6,1.2,0.8,0.5
"309",0.6,NA,0.6,0.6,0.8,0.7,0.6
"310",2.2,NA,17,3.7,43,4.4,6.7
"311",5.9,NA,39,60,70,250,59
"312",0.4,NA,0.3,0.3,0.5,0.5,0.4
"313",7,NA,25,14,31,32,4
"314",0.5,NA,0.7,0.5,0.7,0.4,0.7
"315",0.8,NA,0.9,0.8,1.3,1.2,1.5
"316",0.7,NA,1.2,0.9,1.5,1.1,1
"317",0.9,NA,1.1,1.1,1.4,1.3,0.8
"318",0.7,NA,3.4,4.2,6.7,30,0.4
"319",2.8,NA,11,16,23,48,4.7
"320",3.1,NA,14,18,39,77,5.9
"321",12,NA,40,41,31,108,5.9
"322",0.6,NA,0.9,0.5,1.5,0.9,0.5
"323",2.1,NA,24,21,23,42,143
"324",1.8,NA,11,8.1,12,41,4.5
"325",2.8,NA,16,53,20,85,9.4
"326",3.5,NA,7.7,13,7,78,14
"327",8.5,NA,29,51,40,79,7.4
"328",1.6,NA,19,17,19,45,1.8
"329",1.6,NA,11,1.9,45,5.4,10
"330",3.1,NA,18,108,78,214.2,153
"331",11,NA,20,37,91,54,81
"332",1.4,NA,2.8,1.7,4.4,3.1,0.9
"333",5.8,NA,7.4,7,6.1,45,1.3
"334",3.6,NA,8.1,6.1,27,28,23
"335",0.8,NA,1.1,0.8,1.9,1.5,1.1
"336",5.2,NA,73,39,58,109,155
"337",0.7,NA,1,0.8,1.5,1.1,0.9
"338",6,NA,22,33,43,79,7.1
"339",1.2,NA,1.5,1.3,3.1,3.5,1.2
"340",29,NA,53,185,106,173.9,165
"341",11,NA,58,34,131,129,400
"342",29,NA,6.6,4.2,23,48,24
"343",8.7,NA,187.5,66,139,103,400
"344",0.7,NA,1,0.7,1.7,1.1,0.7
"345",37,NA,20,252,35,176.4,25
"346",8,NA,139,108,136,196.7,66
"347",5,NA,8.1,11,8.6,105,18
"348",9.8,NA,11,4.3,18,17,20
"349",0.1,NA,2.5,NA,14.6,0.6,2.4
"350",0.8,0.9,0.8,0.9,0.8,0.8,0.8
"351",0.5,0.7,0.9,0.7,1.7,0.7,0.8
"352",4.7,5.5,4.5,4.5,6,19,1.3
"353",1.4,NA,1.3,1.3,2.3,1.6,1.2
"354",4,16,30,37,43,177,37
"355",1.8,1.9,0.9,1,7,2.9,1.4
"356",0.3,NA,0.4,0.4,1,0.5,0.4
"357",0.4,1.3,1,0.5,18,0.6,1.1
"358",1.5,1,1.2,0.8,1.7,1,0.9
"359",0.8,1.1,1.1,1.1,1.5,1.2,1.6
"360",NA,NA,1.1,NA,2.3,1.4,0.6
"361",NA,NA,0.4,NA,0.5,0.6,0.5
"362",0.4,NA,0.5,NA,0.8,0.8,0.7
"363",2,NA,1.4,NA,1.5,2.2,1.7
"364",NA,NA,0.8,NA,0.7,1.1,0.7
"365",1.5,NA,1.4,NA,1.4,1.5,1.1
"366",NA,NA,0.9,NA,0.9,1.1,0.5
"367",1,NA,0.8,NA,1.2,1.1,0.8
"368",0.8,NA,1.2,NA,2.5,3,1.3
"369",NA,NA,0.8,NA,1.5,1.3,0.6
"370",0.3,NA,0.4,NA,0.2,0.3,0.5
"371",NA,NA,0.9,NA,1.8,0.9,0.6
"372",0.6,NA,0.5,NA,0.9,0.5,0.7
"373",NA,NA,0.8,NA,0.9,0.8,0.5
"374",NA,NA,0.6,NA,0.6,0.8,0.5
"375",NA,NA,0.8,NA,1.1,0.5,0.3
"376",NA,NA,0.5,NA,0.5,0.6,0.4
"377",NA,NA,0.8,NA,1.2,0.9,0.8
"378",NA,NA,0.3,NA,0.4,0.5,0.1
"379",NA,NA,0.8,NA,1.3,1.3,0.7
"380",NA,NA,0.9,NA,2.6,2.3,1.1
"381",0.3,NA,0.5,NA,1.4,0.5,0.3
"382",0.8,NA,0.8,NA,0.8,1,1.2
"383",0.6,NA,0.7,NA,0.6,0.8,0.9
"384",0.5,NA,0.7,NA,1,0.9,0.7
"385",0.6,NA,0.8,NA,0.9,1,0.9
"386",1.3,NA,0.8,NA,0.8,1.4,0.9
"387",2.1,NA,1.3,NA,2.5,2.8,1.3
"388",2,NA,1.4,NA,2.7,2.3,1.2
"389",1.3,NA,1.1,NA,2,1.8,1.2
"390",1.3,NA,1.9,NA,3.2,3,2.6
"391",NA,NA,0.9,NA,1.4,0.9,0.5
"392",0.7,NA,1,NA,1.4,1.1,0.8
"393",NA,NA,0.9,NA,1,0.8,0.6
"394",NA,NA,1.4,NA,1.3,3.6,1.2
"395",NA,NA,1,NA,2.7,2.8,1
"396",1.1,NA,1.1,NA,1.9,1.9,1.1
"397",0.4,NA,0.4,NA,0.7,0.3,0.4
"398",1,NA,1.9,NA,60,1.5,2
"399",0.9,NA,1.7,NA,2.7,1.5,1.1
"400",1.1,NA,0.7,NA,1.7,0.9,0.8
"401",0.4,NA,0.3,NA,0.5,0.4,0.5
"402",0.4,NA,0.5,NA,7.1,0.4,0.5
"403",0.8,NA,1.2,NA,24.7,1,0.9
"404",3,NA,2.8,NA,2.2,16.1,1
"405",4.4,NA,3.9,NA,3.6,22.4,1.7
"406",3.6,NA,3.6,NA,6.2,12,9
"407",4.5,NA,4.2,NA,11.5,11.3,4.9
"408",2.3,NA,3.7,NA,3,4.4,12.9
"409",0.1,NA,1.5,NA,2.3,0.3,0.4
"410",0.1,NA,2.5,NA,5.1,0.7,1.4
"411",0.1,NA,2.3,NA,8.1,0.8,1.1
"412",0.1,NA,3,NA,12.8,1.3,1.2
"413",0.1,NA,2.9,NA,12.2,1.3,1.4
"414",0.3,NA,0.4,NA,0.4,0.4,0.3
"415",1,NA,1.1,NA,1.4,1.2,1
"416",0.9,NA,1.7,NA,2.4,1.7,1.2
"417",1,1,1,NA,1,1,NA
"418",0.2,5.4,0.1,NA,0.2,0.1,NA
"419",0.7,2.4,0.6,NA,1.1,0.5,NA
"420",0.2,10,0.3,NA,0.3,0.2,NA
"421",1,1,1,NA,1,1,NA
"422",0.1,2,0.1,NA,0.1,0.1,NA
"423",0.3,2,1,NA,1.3,0.7,NA
"424",0.2,6,0.3,NA,0.3,0.2,NA
"425",1,1,1,NA,1,1,NA
"426",0.3,3,0.1,NA,0.1,0.3,NA
"427",0.6,0.9,1.2,NA,1.4,2,NA
"428",0.3,6,0.1,NA,0.2,0.2,NA
"429",1.8,NA,6.2,1.2,7.6,NA,24.7
"430",3.2,NA,5.1,5.3,4.1,NA,1.3
"431",2.5,NA,2.4,2.3,3.6,NA,1.8
"432",0.8,NA,1.2,0.8,30.1,NA,0.4
"433",7.8,NA,0.6,3.6,1.4,NA,1.1
"434",0.6,NA,1.3,0.8,1.1,NA,0.6
"435",2.9,NA,2.6,2.4,4.8,NA,8
"436",3.5,NA,3.5,3.8,6,NA,5.7
"437",3.9,NA,31.1,18.1,30,NA,25.4
"438",9.9,NA,29.4,22.3,48.6,NA,91.4
"439",11,NA,180,100.7,143.6,NA,350
"440",1.8,NA,1.5,1.6,1.3,1.1,1.3
"441",8.4,NA,3.2,7.7,3.4,4,3.7
"442",21,NA,1.6,19,2.9,5.2,1.3
"443",48,NA,2.4,31,4.1,6.5,2
"444",4.6,NA,2.1,6.2,2.6,3.6,2.7
"445",18,NA,1.2,15,3.3,5,1.4
"446",0.1,NA,1.6,NA,2.4,0.4,0.5
"447",0.1,NA,2.6,NA,5.1,0.8,1.4
"448",0.1,NA,2.3,NA,8.2,0.9,1.2
"449",0.1,NA,3.1,NA,12.9,1.4,1.2
"450",0.1,NA,3,NA,12.2,1.3,1.5
"451",0.4,NA,0.5,NA,0.4,0.5,0.4
"452",1.1,NA,1.1,NA,1.4,1.3,1
"453",0.9,NA,1.7,NA,2.5,1.7,1.2
"454",1,0.7,0.6,0.8,1.3,0.8,0.6
"455",1,1.5,0.8,0.6,3.2,1.2,0.8
"456",0.9,4.1,2.4,NA,83,1.3,2.4
"457",3.9,49,8.2,NA,232,13,33
"458",0.7,1.1,1,NA,1.2,1.2,0.7
"459",0.8,0.9,0.9,NA,1.1,1.1,0.9
"460",0.5,1.9,1.1,NA,25,0.6,0.5
"461",0.8,2.9,1.3,NA,5.8,2.4,0.8
"462",1.6,141,27,NA,86,9.8,111
"463",0.2,6,4.2,NA,7.7,0.8,1.3
"464",0.4,7.9,0.4,NA,0.8,0.2,0.5
"465",0.8,0.8,1,NA,1.2,1.1,0.7
"466",0.3,31,12,NA,66,3.6,12
"467",1.6,2.7,1.8,NA,7.4,1.6,1
"468",4.3,3.8,2.6,NA,15,13,3.5
"469",0.3,9.9,0.5,NA,1,0.1,0.3
"470",0.5,0.6,0.8,NA,1.1,0.7,0.5
"471",1.1,12,2.8,NA,72,2.8,6.9
"472",0.6,1.5,1.2,NA,31,0.9,1.1
"473",0.9,0.8,0.8,NA,1.3,0.8,0.8
"474",0.8,8.8,0.4,NA,0.9,0.2,0.3
"475",0.4,0.7,0.8,NA,1.5,1,0.7
"476",1.4,7.6,2.3,NA,142,0.8,NA
"477",0.1,22,0.1,NA,6,0.1,NA
"478",0.5,0.7,0.4,NA,12,0.7,0.6
"479",4.3,22,24,NA,56,19,24
"480",0.6,0.7,0.7,NA,0.8,0.6,0.7
"481",1,2.3,1.9,NA,46,1.1,2
"482",0.6,0.7,0.7,NA,0.8,0.9,0.6
"483",0.5,5.2,0.3,NA,0.3,0.1,0.1
"484",0.5,0.6,0.6,NA,1,0.5,0.4
"485",1.3,4,3.4,NA,91,4.3,5.6
"486",2.7,14,5.2,NA,140,10,21
"487",3.2,2.1,4.6,NA,23,8.2,2.1
"488",2.1,6.9,7.8,NA,35,7.6,5.8
"489",0.4,0.7,0.5,NA,0.6,0.6,0.5
"490",0.3,0.8,0.4,NA,13,0.3,0.3
"491",1.2,7.4,2.6,NA,82,1.8,2.7
"492",0.5,1.8,0.9,NA,14,0.6,0.5
"493",6.2,3.4,1.3,NA,59,9.9,18
"494",0.9,1.4,0.9,NA,4.6,1,0.8
"495",3.4,NA,9.1,NA,30.3,21,30.3
"496",0.9,NA,1.3,NA,2.5,1.4,1
"497",0.6,NA,0.7,NA,1.1,0.9,0.6
"498",0.7,NA,1,NA,47,1.4,1.5
"499",1.1,NA,1.1,NA,1.5,1.7,0.9
"500",0.8,NA,1,NA,1.4,1.3,1.1
"501",0.6,NA,1.6,NA,38.9,1,0.9
"502",1.2,NA,17.1,NA,21,61.2,3.8
"503",3,NA,4.3,NA,4.5,16.5,0.7
"504",0.8,NA,1.3,NA,1.8,1.4,1.2
"505",0.5,NA,0.7,NA,1.3,0.9,1
"506",6,NA,10.5,NA,18.4,12,18
"507",1.3,NA,1.3,1.1,2.6,1.6,1.5
"508",1.6,NA,5.2,2.8,5.8,14,1.6
"509",0.8,NA,0.6,0.7,0.9,0.8,0.7
"510",0.6,0.8,1,0.7,0.8,0.7,0.6
"511",14,8.8,6.8,17,15,63,4.1
"512",5.4,4.7,9.4,7.4,9.9,20,33
"513",1,NA,7.2,1.3,21,5.1,8.4
"514",1,2.6,2.1,1,53,2.1,2.6
"515",1.2,1.4,1.8,1,3.4,3.4,3.7
"516",0.8,1.1,1,1,2,1.5,0.8
"517",5.6,65,150,75,89,140,59
"518",4.8,NA,53,56,59,82,6.2
"519",1.9,1.5,1.5,1.5,2.4,1.9,1.2
"520",0.4,NA,0.4,0.4,0.5,0.4,0.6
"521",1.1,0.9,0.7,0.9,1,1.5,0.8
"522",0.5,NA,0.6,0.6,0.6,0.6,0.5
"523",0.4,0.9,0.9,0.8,0.7,0.6,1
"524",2.3,19.3,17,9.9,18.4,45.3,16.7
"525",0.6,0.7,0.8,0.6,1,0.7,0.8
"526",0.6,1.3,1.1,0.6,23.3,0.6,0.3
"527",1,15.2,23.4,10.1,29.8,36.7,7.1
"528",2.1,1.9,2.5,4.3,2.5,14.5,1.2
"529",1.5,27.4,31.4,13.2,43.6,73.5,21.4
"530",1.2,2.5,1.8,1.2,45,0.9,2.3
"531",1.3,2.6,3.5,1.4,4.1,7.6,0.4
"532",4.9,10.8,24.5,7.5,56,9.3,16.2
"533",4.1,17.2,8.4,10.9,6.1,61.5,20.9
"534",6.3,NA,7.5,6.3,17.6,48.7,47.7
"535",1.7,NA,1.2,0.4,15.3,1.6,6.1
"536",5.4,NA,1.3,NA,58.7,8.6,14.1
"537",8.6,NA,4.1,1.6,74.3,10,55.9
"538",10.4,NA,10.7,3.1,395.3,9.1,92
"539",64.1,NA,62.9,46.8,143.8,21.6,24.4
"540",23,NA,42.3,7.2,400,59.8,400
"541",118.1,NA,24.2,77,400,400,137.2
"542",31.1,NA,26.8,NA,400,84.5,140.6
"543",42.5,NA,78.3,11.4,400,76,364.6
"544",32,NA,57.8,13.8,400,42.1,241.1
"545",28.1,NA,52.6,9,400,54.2,256.2
"546",19,NA,41,6,271,31,105
"547",20.9,NA,38,13.9,63.9,33.7,24
